Date,real,predicted
2015-12-31,23.782823562622067,26.84548
2016-01-31,21.993349075317383,23.753132
2016-02-29,21.96503829956055,22.26577
2016-03-31,24.75922012329101,22.489674
2016-04-30,21.29488182067871,25.332376
2016-05-31,22.82327461242676,21.302675
2016-06-30,21.849643707275394,23.423151
2016-07-31,23.81748390197754,22.368067
2016-08-31,24.380809783935547,24.554941
2016-09-30,25.97786140441894,24.895695
2016-10-31,26.09046363830566,26.316238
2016-11-30,25.526882171630863,26.21227
2016-12-31,26.75102233886719,25.557629
2017-01-31,28.028297424316406,27.007
2017-02-28,31.777851104736325,28.175407
2017-03-31,33.32511520385743,31.998695
2017-04-30,33.32279205322265,33.36961
2017-05-31,35.582321166992195,33.301308
2017-06-30,33.54652786254883,35.941265
2017-07-31,34.64361572265624,33.617744
2017-08-31,38.350460052490234,35.232067
2017-09-30,36.040081024169915,38.753696
2017-10-31,39.5290298461914,36.028828
2017-11-30,40.330608367919915,40.143234
2017-12-31,39.71572494506835,40.690365
2018-01-31,39.29330062866212,39.947205
2018-02-28,41.97250366210938,39.726795
2018-03-31,39.53596878051757,42.31594
2018-04-30,38.942161560058594,39.607624
2018-05-31,44.20418548583984,39.2212
2018-06-30,43.78784942626953,44.57412
2018-07-31,45.013179779052734,43.945442
2018-08-31,54.03481674194336,45.503975
2018-09-30,53.5861701965332,54.535664
2018-10-31,51.952999114990234,53.79071
2018-11-30,42.539241790771484,52.518032
2018-12-31,37.57496643066406,42.32011
2019-01-31,39.64738845825196,38.72834
2019-02-28,41.422653198242195,42.018723
2019-03-31,45.441722869873054,43.17988
2019-04-30,48.00626754760742,46.8663
2019-05-31,42.04327392578124,48.923145
2019-06-30,47.53072738647461,41.941795
2019-07-31,51.161800384521484,48.532543
2019-08-31,50.31962585449219,52.536934
2019-09-30,53.99102783203125,51.3064
2019-10-31,59.96697616577148,54.928562
2019-11-30,64.61766815185547,60.827286
2019-12-31,71.000846862793,65.39474
2020-01-31,74.83558654785155,71.50666
2020-02-29,66.25183868408205,75.139175
2020-03-31,61.630027770996094,66.18134
2020-04-30,71.20571899414064,62.913383
2020-05-31,77.2649230957031,73.70793
2020-06-30,88.65270996093751,79.44885
2020-07-31,103.2920684814453,90.15399
2020-08-31,125.66196441650388,104.99713
2020-09-30,112.77830505371091,127.73154
2020-10-31,106.0102310180664,113.670944
2020-11-30,116.13348388671874,109.35413
2020-12-31,129.43933105468753,122.48472
2021-01-31,128.7272338867188,135.08289
2021-02-28,118.46611785888672,130.98259
2021-03-31,119.33560180664058,119.07025
2021-04-30,128.43109130859375,121.316895
2021-05-31,121.94571685791021,131.38017
2021-06-30,134.03166198730466,122.698906
2021-07-31,142.7413635253906,135.47746
2021-08-31,148.80632019042966,143.93137
2021-09-30,138.6820220947266,149.61862
2021-10-31,146.81675720214847,138.90399
2021-11-30,162.24453735351568,148.78786
2021-12-31,174.28771972656247,165.23355
2022-01-31,171.54927062988276,175.91275
2022-02-28,162.27433776855466,171.96028
2022-03-31,171.60079956054685,162.94783
2022-04-30,154.93309020996088,174.32063
2022-05-31,146.48983764648435,156.08112
2022-06-30,134.5611877441406,148.67303
2022-07-31,159.9439544677734,136.44821
2022-08-31,154.95242309570312,163.16716
2022-09-30,136.2067718505859,157.19888
2022-10-31,151.1283874511719,137.5564
2022-11-30,146.13699340820318,154.97975
2022-12-31,128.26843261718756,149.9481
2023-01-31,142.444839477539,131.25856
2023-02-28,145.74713134765625,145.63213
2023-03-31,163.03981018066403,149.63017
2023-04-30,167.76589965820315,166.83206
2023-05-31,175.49290466308588,169.11832
2023-06-30,192.04718017578134,177.2807
2023-07-31,194.50259399414065,194.02032
2023-08-31,186.25881958007804,195.06432
2023-09-30,169.74169921875006,186.91139
2023-10-31,169.30546569824216,170.41222
2023-11-30,188.56909179687494,172.4177
2023-12-31,191.13034057617182,192.26514
2024-01-31,183.05941772460938,192.4572
2024-02-29,179.6649475097657,183.49297
2024-03-31,170.45057678222656,181.30902
2024-04-30,169.30749511718753,171.37892
2024-05-31,191.35510253906241,171.65126
2024-06-30,209.63955688476557,193.00513
2024-07-31,221.0462341308593,211.0471
2024-08-31,228.19786071777352,222.06387
2024-09-30,232.18383789062491,228.95154
2024-10-31,225.11868286132798,233.17793
2024-11-30,236.75888061523443,226.75499
2024-12-31,249.81738281250009,239.6214
2025-01-31,235.4320831298828,251.23677
2025-02-28,241.52326965332037,234.95544
2025-03-31,221.83909606933602,243.66592
2025-04-30,212.22171020507804,222.13992
2025-05-31,195.270004272461,215.11572
